"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"34",106,13286,"마포구","106. 합정역 7번출구 앞",201904,3556,"서울특별시 마포구 독막로 4",37.548645,126.912827,"42253.990636574075",10,1,355.6,1328.6
"35",106,13286,"마포구","106. 합정역 7번출구 앞",201812,942,"서울특별시 마포구 독막로 4",37.548645,126.912827,"42253.990636574075",10,1,94.2,1328.6
"36",106,13286,"마포구","106. 합정역 7번출구 앞",201905,5278,"서울특별시 마포구 독막로 4",37.548645,126.912827,"42253.990636574075",10,1,527.8,1328.6
"37",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201901,884,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,176.8,1705.6
"38",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201903,1318,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,263.6,1705.6
"39",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201904,1839,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,367.8,1705.6
"40",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201812,905,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,181,1705.6
"41",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201902,699,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,139.8,1705.6
"42",107,8528,"마포구","107. 신한은행 서교동금융센터점 앞",201905,2883,"서울특별시 마포구 월드컵북로 35",37.55751,126.918503,"42253.991631944446",5,1,576.6,1705.6
"43",108,6612,"마포구","108. 서교동 사거리",201903,1077,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,107.7,661.2
"44",108,6612,"마포구","108. 서교동 사거리",201812,679,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,67.9,661.2
"45",108,6612,"마포구","108. 서교동 사거리",201901,609,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,60.9,661.2
"46",108,6612,"마포구","108. 서교동 사거리",201902,539,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,53.9,661.2
"47",108,6612,"마포구","108. 서교동 사거리",201904,1497,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,149.7,661.2
"48",108,6612,"마포구","108. 서교동 사거리",201905,2211,"서울특별시 마포구 양화로 93",37.552746,126.918617,"42253.994039351855",10,1,221.1,661.2
"49",109,6639,"마포구","109. 제일빌딩 앞",201902,481,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,48.1,663.9
"50",109,6639,"마포구","109. 제일빌딩 앞",201905,2587,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,258.7,663.9
"51",109,6639,"마포구","109. 제일빌딩 앞",201812,576,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,57.6,663.9
"52",109,6639,"마포구","109. 제일빌딩 앞",201903,936,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,93.6,663.9
"53",109,6639,"마포구","109. 제일빌딩 앞",201904,1600,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,160,663.9
"54",109,6639,"마포구","109. 제일빌딩 앞",201901,459,"서울특별시 마포구 어울마당로 26",37.547691,126.919983,"42254.060983796298",10,1,45.9,663.9
"55",110,3903,"서대문구","110. 사천교",201901,272,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,13.6,195.2
"56",110,3903,"서대문구","110. 사천교",201903,628,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,31.4,195.2
"57",110,3903,"서대문구","110. 사천교",201812,409,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,20.4,195.2
"58",110,3903,"서대문구","110. 사천교",201905,1362,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,68.1,195.2
"59",110,3903,"서대문구","110. 사천교",201904,903,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,45.1,195.2
"60",110,3903,"서대문구","110. 사천교",201902,329,"서울특별시 서대문구 홍제천로 11",37.568199,126.917847,"42254.061736111114",20,1,16.4,195.2
"61",111,6199,"마포구","111. 상수역 2번출구 앞",201903,1026,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,102.6,619.9
